id,text,chars,width,height,area,char_size,pos_x,pos_y,aspect,layout,label
bank-002-004,"parts below the neck is paralyzed. The system includesthe accelerometer sensor which detects the headmovement of the user or disabled people. The proposedsystem uses the accelerometer to find out themovement of the head is detected. Ericka Janet RechyRamirez and Huosheng Hu [4] present a flexible bio signalbased HMI system. In this HMI system, an Emotive EPOCsensor is used for the head movements of the user. Thesensor recognizes the head movements of the user. ChanlitNoiruxsar and Pranchalee Samanpiboon [5] presents faceorientation recognition system for head gesture recognitionsystem. The USB camera was fixed in front of the user'sface. The face of the user was detected using adaboostalgorithm. The face of the user in the four differentdirections, which is used for generating the controlcommands for the wheelchair or motion control system,consists of frontal, right, left, up and down. A Review onRobo Chair Assistance Using Head Gesture Recognition ispresented in [6]. In this system, a web cam is used for theinput of the user. A cascade object detection method isused for the face detection of the user. Rushikesh T.Bankar and Suresh S. Salankar [10] present an IntelligentHead Gesture Recognition System. The system is usefulfor the handicapped peoples.",1270,0.382353,0.335859,0.128417,0.000101,0.702614,0.257576,1.138434, h,other
bank-002-005,"The gesture (Hand, Head, Arm, Eye etc.) recognition isan important part of Multi Modal User Interfaces system.The vision based gesture recognition system involves thegeneral purpose cameras which are connected to generalpurpose PC for processing the proposed system.",266,0.382353,0.069444,0.026552,0.0001,0.702614,0.458965,5.505885, h,header
bank-002-006,II.,3,0.013072,0.008838,0.000116,3.9e-05,0.609477,0.50947,1.478988, h,body
bank-002-007,DESIGN OF GESTURE CAM,21,0.171569,0.011364,0.00195,9.3e-05,0.726307,0.50947,15.098085, h,body
bank-002-008,ImageCaptureUnit,16,0.050654,0.040404,0.002047,0.000128,0.559641,0.566919,1.253676, h,header
bank-002-009,H,1,0.116013,0.063131,0.007324,0.007324,0.625,0.566919,1.837645, h,header
bank-002-010,GestureRecogniti,16,0.060458,0.026515,0.001603,0.0001,0.711601,0.5625,2.280116, h,body
bank-002-011,Host &DisplayUnit,17,0.050654,0.037879,0.001919,0.000113,0.861928,0.568182,1.337256, h,header
bank-002-012,on Unit,7,0.04902,0.011364,0.000557,8e-05,0.712418,0.582702,4.31372, h,body
bank-002-013,Figure 1. Gesture Cam design components.,40,0.23366,0.013889,0.003245,8.1e-05,0.703431,0.616793,16.823514, h,body
bank-002-014,"Figure 1 shows the design of a Gesture Cam. TheGesture Cam is the FPGA based Smart Camera which canperform all the processing tasks. The use of FPGA as adevelopment platform is because as compared to PC toperform data intensive video processing tasks in real time,the FPGA is a better computing platform. The highbandwidth requirement between the camera and PC is notnecessary because the output from the camera can be assimple as an index of a gesture among the predefined headgesture data base.",496,0.382353,0.138889,0.053105,0.000107,0.702614,0.704545,2.752941, h,header
bank-002-015,"The Gesture Cam consists of the three parts. The firstpart is the Image Capture Unit. The Image Capture Unitincludes a small in-house built PCB. On the PCB, there isa megapixel CMOS color image sensor OV9620 from theomnivision. The PCB is fit into a dummy camera casing.",270,0.382353,0.068182,0.02607,9.7e-05,0.702614,0.806818,5.607844, h,header
bank-002-016,536,3,0.01634,0.007576,0.000124,4.1e-05,0.498366,0.938131,2.156868, h,body
bank-003-000,Figure 2Tools Desktop,21,0.068627,0.016414,0.001126,5.4e-05,0.702614,0.107955,4.180998, h,body
bank-003-001,File,4,0.013072,0.005051,6.6e-05,1.7e-05,0.552288,0.112374,2.58823, h,caption
bank-003-002,Edit,4,0.013072,0.005051,6.6e-05,1.7e-05,0.580065,0.112374,2.588236, h,caption
bank-003-003,View,4,0.019608,0.005051,9.9e-05,2.5e-05,0.611111,0.112374,3.882356, h,caption
bank-003-004,Insert,6,0.02451,0.005051,0.000124,2.1e-05,0.644608,0.112374,4.852938, h,caption
bank-003-005,Window,6,0.034314,0.006313,0.000217,3.6e-05,0.767157,0.113005,5.435297, h,body
bank-003-006,Help,4,0.017974,0.005051,9.1e-05,2.3e-05,0.806373,0.112374,3.558826, h,caption
bank-003-007,Tum Lett,8,0.037582,0.005051,0.00019,2.4e-05,0.701797,0.131313,7.441169, h,caption
bank-003-008,"The second part is the Gesture Recognition Unit. Toform Gesture Recognition Unit, a Xilinx Virtex-II ProFPGA development kit has been chosen. The kit is apowerful development platform for",187,0.380719,0.05303,0.02019,0.000108,0.291667,0.117424,7.179272, h,header
bank-003-009,the imagingapplications.,24,0.383987,0.045455,0.017454,0.000727,0.291667,0.145202,8.447712, h,header
bank-003-010,The third part is the Host & Display Unit. The Host &Display Unit consists of a host PC with two LCDmonitors. The first LCD Monitor is used for the codedevelopment as well as user interface for the cameraconfiguration. The second LCD Monitor is used for thereal time video display of results from the different stagesof processing.,331,0.380719,0.09596,0.036534,0.00011,0.291667,0.207071,3.967492, h,header
bank-003-011,The output of the Gesture Cam is interfaced with theMicrocontroller for the movement of the wheelchair or thegeneration of the motion control commands.,151,0.380719,0.042929,0.016344,0.000108,0.291667,0.275253,8.868512, h,header
bank-003-012,Figure 3. Face detection of the user.,37,0.196078,0.011364,0.002228,6e-05,0.704248,0.285985,17.254912, h,body
bank-003-013,"Figure 3 shows the face detection of the user. The facedetection of the user is done in the four directions, left,right, forward, and reverse. The left turn profile of the useris detected which is shown in the figure 3. The viola /jones face detection method is applied for the left turn ofthe user's head.",306,0.382353,0.079545,0.030414,9.9e-05,0.704248,0.344066,4.806721, h,header
bank-003-014,"FACE DETECTION METHODFor detection of user's face, we use the viola / jonesface detector method. This is a widely used method for thereal time object detection. In this method, the training isslow but the detection is very fast.",228,0.380719,0.07197,0.0274,0.00012,0.291667,0.344066,5.289991, h,header
bank-003-015,"Before applying the viola / jones face detectionmethod, first we take the video of the user using web cam.From the input video, the user's images are grabbed. Thesegrabbed images then processes using the viola / jones facedetection method.",239,0.380719,0.066919,0.025477,0.000107,0.291667,0.414773,5.689236, h,header
bank-003-016,"The face detection is done in the four directions. Thesedirections are the left turn, right turn, forward, and reverse.When the user wants to turn the left, the face detection isdone for left turn image of the user.",215,0.382353,0.055556,0.021242,9.9e-05,0.292484,0.478535,6.882349, h,header
bank-003-017,"V. OBSTACLE DETECTON TECHNIQUEThe proposed system is mainly adapted for the peoplewho are suffering with different disabilities. For thosepeoples, in certain conditions, problems could be occurredwhile handling the devices, during certain conditions. Thesystem includes the obstacle detection technique. Thesystem is responsible for the detection of obstacles whileperforming the proposed system. The subsystem consistsof an ultrasonic sensor. The sensor emits the sound waves.The frequency of the sound waves is well above theperceivable frequency range of the human ears. The soundwaves which emits from the sensor, when strike an object,it gets reflected. They are received by the sensor. In oursystem, a limit of 40 cm was set. If any obstacle comescloser than this limit, a buzzer activates. In this way theuser is warned.",827,0.383987,0.224747,0.0863,0.000104,0.703431,0.508838,1.708526, h,header
bank-003-018,IV.,3,0.017974,0.010101,0.000182,6.1e-05,0.206699,0.521465,1.779426, h,body
bank-003-019,EXPERIMENTAL RESULT,19,0.156863,0.010101,0.001584,8.3e-05,0.315359,0.522727,15.529427, h,body
bank-003-020,Editor-F Module Moduleim,24,0.055556,0.00505,0.000281,1.2e-05,0.287582,0.551768,11.000097, h,caption
bank-003-021,Toolbus Dubtop Window Help,26,0.065359,0.003788,0.000248,1e-05,0.184641,0.556187,17.254803, h,caption
bank-003-022,Figure 2,8,0.013072,0.003788,5e-05,6e-06,0.287582,0.561237,3.45099, h,caption
bank-003-023,ile Edit Viewer Tools Desktop Window Help,41,0.094771,0.00505,0.000479,1.2e-05,0.199346,0.566919,18.764873, h,caption
bank-003-024,Catured Image,13,0.02451,0.00505,0.000124,1e-05,0.286765,0.57702,4.852961, h,caption
bank-003-025,set vide,8,0.026144,0.003788,9.9e-05,1.2e-05,0.132353,0.58649,6.902014, h,caption
bank-003-026,pevs via,8,0.022876,0.006313,0.000144,1.8e-05,0.132353,0.59154,3.623521, h,body
bank-003-027,Gew,3,0.026144,0.002525,6.6e-05,2.2e-05,0.132353,0.597222,10.352748, h,caption
bank-003-028,houtShowtitle,13,0.014706,0.008838,0.00013,1e-05,0.136438,0.638258,1.663856, h,body
bank-003-029,deletevia,9,0.021242,0.003788,8e-05,9e-06,0.129902,0.652146,5.607813, h,caption
bank-003-030,TE,2,0.00817,0.00505,4.1e-05,2.1e-05,0.10866,0.691919,1.617662, h,caption
bank-003-031,hop,3,0.009804,0.00505,5e-05,1.7e-05,0.156863,0.691919,1.941193, h,caption
bank-003-032,Figure 2. Grabbed Image of the user.,36,0.20098,0.011364,0.002284,6.3e-05,0.291667,0.724116,17.686285, h,body
bank-003-033,"Figure 2 shows the grabbed image of the user. First wetake the input video of the user. From this input video, theuser's input images are grabbed. These grabbed inputimages are used for the further processes.",208,0.380719,0.056818,0.021632,0.000104,0.291667,0.770833,6.700652, h,header
bank-003-034,"In further process, the viola / jones face detectormethod is used. The above grabbed images are in fourdirections of the user. The four directions are turn left ofthe user's head, right turn, forward, and reverse direction.",223,0.383987,0.056818,0.021817,9.8e-05,0.291667,0.825126,6.75817, h,header
bank-003-035,The viola / jones face detector method is applied forthese four directional images of the user.,95,0.382353,0.026515,0.010138,0.000107,0.292484,0.86553,14.420169, h,body
bank-003-036,VI. CONCLUSIONSWe have presented the head gesture recognition systemusing gesture cam. The gesture cam is the FPGA basedsmart camera. This FPGA based smart camera canrecognize the head gestures. The output of the gesture camis then interfaced with the microcontroller for furthertaking action to the wheelchair for turning as per the needof the user or generating the motion control commands.The intelligent system for head gesture recognition usinggesture cam is completed when it is implemented on thewheelchair.,514,0.382353,0.155303,0.059381,0.000116,0.704248,0.71149,2.46198, h,header
bank-003-037,"The next work is to design the Gesture Camera for thefurther processing. The face detection in four differentdirections is to be done. For this face detection, the webcam is used. After designing the gesture cam, the system isan intelligent system to recognize the human head gesturefor the disabled peoples.",308,0.382353,0.083333,0.031863,0.000103,0.704248,0.833333,4.588237, h,header
bank-003-038,537,3,0.01634,0.007576,0.000124,4.1e-05,0.498366,0.938131,2.156868, h,body
bank-004-000,REFERENCES,10,0.083333,0.011364,0.000947,9.5e-05,0.291667,0.095328,7.333335, h,body
bank-004-001,"[1] P. Jia, H. Hu, T. Lu and K. Yuan, Ã¢â‚¬Å“Head Gesture Recognition For",67,0.380719,0.010101,0.003846,5.7e-05,0.291667,0.114899,37.691153, h,body
bank-004-002,"Hands Free Control of an Intelligent Wheelchair,Ã¢â‚¬Â an International",66,0.351307,0.011364,0.003992,6e-05,0.306373,0.125631,30.915048, h,body
bank-004-003,"Journal 34/1 (2007) 60 - 68.[2] H. Kim, S. H. Lee, M. K. Sohn and D. J. Kim, Ã¢â‚¬Å“Illumination",90,0.382353,0.026515,0.010138,0.000113,0.29085,0.143308,14.420174, h,body
bank-004-004,"Invariant Head Pose Estimation Using Random Forests Classifierand Binary Pattern Run Length MatrixÃ¢â‚¬Â, Human CentricComputing and Information Sciences, a Springer Open Journal,",174,0.352941,0.034091,0.012032,6.9e-05,0.305556,0.174874,10.35294, h,body
bank-004-005,"2014.[3] Manju Davy and R. Deepa, Ã¢â‚¬Å“Hardware Implementation Based on",67,0.380719,0.027778,0.010576,0.000158,0.291667,0.205808,13.705886, h,body
bank-004-006,"Head Movement Using Accelerometer Sensor,Ã¢â‚¬Â InternationalJournal of Applied Sciences and Engineering Research, Volume -",118,0.351307,0.022727,0.007984,6.8e-05,0.306373,0.228535,15.457504, h,body
bank-004-007,"3, Issue - 1, 2014.[4] Ericka Janet Rechy Ramirez and Huosheng Hu, Ã¢â‚¬Å“A Flexible Bio",82,0.380719,0.027778,0.010576,0.000129,0.291667,0.252525,13.705881, h,body
bank-004-008,"Signal Based HMI For Hands Free Control of an Electric PoweredWheelchair,Ã¢â‚¬Â An International Journal of Artificial Life Research,",128,0.351307,0.022727,0.007984,6.2e-05,0.306373,0.276515,15.457511, h,body
bank-004-009,"4 (1), 59 - 76, January - March 2014.[5] Chanlit Noiruxsar and Pranchalee Samanpiboon, Ã¢â‚¬Å“Face Orientation",104,0.380719,0.02904,0.011056,0.000106,0.291667,0.301136,13.10998, h,body
bank-004-010,"Recognition For Electric Wheelchair Control,Ã¢â‚¬Â Journal ofAutomation and Control Engineering, Volume 2, No. 4,",108,0.351307,0.02399,0.008428,7.8e-05,0.306373,0.326389,14.643974, h,body
bank-004-011,"December - 2014.[6] Shraddha V. Manikpure, Rushikesh T. Bankar and Suresh S.",76,0.380719,0.025253,0.009614,0.000127,0.291667,0.349747,15.076473, h,body
bank-004-012,"Salankar, Ã¢â‚¬Å“A Review on Robo Chair Assistance Using HeadGesture RecognitionÃ¢â‚¬Â, International Journal of Innovative Scienceand Modern Engineering (IJISME), ISSN: 2319 - 6386, Volume -",180,0.351307,0.032828,0.011533,6.4e-05,0.306373,0.380051,10.701358, h,body
bank-004-013,"3, Issue - 2, January - 2015.[7] Pei Fia and Huosheng H. Hu, Ã¢â‚¬Å“Head Gesture Recognition For",90,0.380719,0.027778,0.010576,0.000118,0.291667,0.410354,13.705876, h,body
bank-004-014,"Hands Free Control of an Intelligent Wheelchair,Ã¢â‚¬Â Research",58,0.351307,0.011364,0.003992,6.9e-05,0.306373,0.428662,30.915048, h,body
bank-004-015,"Article, www.emeraldinsight.com/0143 - 991X.htm..[8] Parimita Saika and Karen Das, Ã¢â‚¬Å“Head Gesture Recognition Using",114,0.380719,0.026515,0.010095,8.9e-05,0.291667,0.447601,14.358544, h,body
bank-004-016,"Optical Flow Based Classification with Reinforcement of GMMBased Background SubtractionÃ¢â‚¬Â, International Journal ofComputer Applications (0975 - 8887), Volume - 65, No. 25, March",177,0.352941,0.034091,0.012032,6.8e-05,0.305556,0.476641,10.352943, h,body
bank-004-017,"- 2013.[9] Preeti Srivastava, Dr. S. Chatterjee and Ritula Thakur, Ã¢â‚¬Å“A Novel",75,0.380719,0.025253,0.009614,0.000128,0.291667,0.506313,15.076455, h,body
bank-004-018,"Head Gesture Recognition Based Control For IntelligentWheelchairs, International Journal of Research in Electrical &Electronics Engineering, Volume - 2, Issue - 2, April - June, 2014,",183,0.351307,0.035354,0.01242,6.8e-05,0.306373,0.537879,9.936967, h,header
bank-004-019,"PP. 10 - 17.[10] Rushikesh T. Bankar and Suresh S. Salankar, Ã¢â‚¬Å“Implementation of",79,0.382353,0.026515,0.010138,0.000128,0.292484,0.568813,14.420196, h,body
bank-004-020,"an Intelligent Head Gesture Recognition SystemÃ¢â‚¬Â, InternationalJournal of Innovative Science and Modern Engineering (IJISME),",124,0.351307,0.022727,0.007984,6.4e-05,0.306373,0.590909,15.45749, h,body
bank-004-021,"ISSN: 2319-6386, Volume - 3, Issue - 2, January - 2015.[11] Yuan Luo Zhang Fang Hu and Lin Li Yizhang, Ã¢â‚¬Å“A Novel Head",116,0.380719,0.025253,0.009614,8.3e-05,0.291667,0.614899,15.076473, h,body
bank-004-022,"Gesture Recognition Means in the Human Wheelchair InteractionÃ¢â‚¬Â,International Conference on Computer Application and SystemModelling (ICCASM - 2010).",148,0.352941,0.034091,0.012032,8.1e-05,0.305556,0.644571,10.35295, h,body
bank-004-023,538,3,0.01634,0.007576,0.000124,4.1e-05,0.498366,0.938131,2.156868, h,body
crai-001-000,"AbstractÃ¢â‚¬â€Loss of mobility can occur for a variety of rea-sons,such as spinal cord injury or motor neurone disease. Theonset of these conditions often brings with it an associated lossof personal independence, which is primarily due to the factthat the sufferer is no longer able to control their mobility.This project aims to address this problem through the creationof a head movement based wheelchair control system. Using apersonal digital assistant (PDA) artificial intelligence techniqueson an embedded LINUX operating system, a wireless headmovement wheelchair control system has been designed andimplemented. This system provides relief for sufferers of con-ditions which inhibit mobility through a method of wheelchaircontrol which offers enhanced ease of use, attractiveness andindependence.Index TermsÃ¢â‚¬â€Head movement, personal digital assistant(PDA), power wheelchair control, neural network, embeddedsystem, wireless, bluetooth, linux.",945,0.400327,0.212121,0.084918,9e-05,0.288399,0.407828,1.887255, h,header
crai-001-001,"I. INTRODUCTIONIn order to overcome the inherent difficulties associatedwith the use of joystick control by a person with a disabilitylimiting hand or arm movement, several new control tech-niques have been developed. The traditional solution is touse a joystick which can be operated by the userÃ¢â‚¬â„¢s chin orelbow.These difficulties have resulted in the development ofseveral novel hands-free control techniques. Some of theseinclude eye gaze control [1], [2], eyewink control [3] andvoice control [4]Ã¢â‚¬â€œ[6].The form of hands-free control that has been focused onin this project and our work generally is head movementbased control [7]Ã¢â‚¬â€œ[9]. Head movement is a natural wayof expressing direction, and as a control technique is bothintuitive and simple. Head movement is diverse enough toreplace the joystick as a control device, and has the advantageof being usable by sufferers of high level spinal damage.The first head movement system we developed was atelemetric head movement device for the control of powerwheelchairs [7]. This system has many benefits for thewheelchair operator, and it uses a notebook computer asthe control device. This is problematic because the notebookneeds to be visible to the wheelchair operator in order forthem to successfully interact with the control system. Thisrequirement places the notebook directly in the operatorÃ¢â‚¬â„¢s",1352,0.400327,0.397727,0.159221,0.000118,0.288399,0.731692,1.006536, h,other
crai-001-002,"Proceedings of the 2005 IEEEEngineering in Medicine and Biology 27th Annual ConferenceShanghai, China, September 1-4, 2005",122,0.380719,0.032828,0.012498,0.000102,0.278595,0.049242,11.597285, h,body
crai-001-003,0-7803-8740-6/05/$20.00 Ã‚Â©2005 IEEE.,35,0.28268,0.011364,0.003212,9.2e-05,0.229575,0.950126,24.875677, h,body
crai-001-004,Wireless Real-Time Head Movement SystemUsing a Personal Digital Assistant (PDA) forControl of a Power Wheelchair,112,0.727124,0.099747,0.072529,0.000648,0.499183,0.140783,7.28965, h,header
crai-001-005,"D.A. Craig, H.T. NguyenKey University Research Centre for Health Technologies, Faculty of Engineering,University of Technology, Sydney, NSW, AUSTRALIA",150,0.547386,0.042929,0.023499,0.000157,0.499183,0.239899,12.75087, h,header
crai-001-006,772,3,0.026144,0.011364,0.000297,9.9e-05,0.5,0.945076,2.300658, h,body
crai-001-007,"field of vision, which is visually distracting and potentiallyhazardous.In 2004, a real-time head movement control system usinga DIMM-PC based embedded system running linux for thecontrol of a power wheelchair was developed [9]. This systemhas several advantages over systems developed previously.The primary advantages over previous work were the freeingup of the space directly in front of the user which provides abetter field of vision, and creating a more natural, integratedenvironment for the user of the wheelchair.This paper will describe the development of a real-timehead movement control system using a PDA as the primarycontrol device. It will also describe a technique devised forthis project to improve previous head movement classificationrates in the design of the neural network controller.The PDA is an obvious candidate for the controller becauseof its compact size and its integrated peripheral devices. Outof the box, the PDA enables a wireless connection to the headmovement sensor, and also provides an inbuilt display. Thepositive aspects of this system are the comfort of the operatorand a reduction in the area obstructed in the operatorÃ¢â‚¬â„¢s fieldof vision.II. METHODSA. High Level System DesignThe overall system block diagram of this design is shownin figure 1. The system contains three main modules: theinput, data processing and output. The system input is ahead movement sensor, which is connected via bluetoothto a PDA. The PDA runs a neural network-based digitalcontroller, which monitors the input in order to recognisehead movements. The PDA controls the power wheelchairby controlling a quad channel DAC via the serial port.",1660,0.400327,0.489899,0.19612,0.000118,0.709967,0.545455,0.817162, v,other
crai-001-008,Fig. 1. Overall System Block Diagram,36,0.214052,0.008838,0.001892,5.3e-05,0.709967,0.910985,24.218641, h,body
